,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,ate,ate_hat,ate_error,policy_risk,baseline
0,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-9.216673638796074e-06,0.0033907833263612038,0.036511345923324674,OBS
1,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-0.001688236543296015,0.0017117634567039848,0.03878534278790569,OBS Oracle
2,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-3.5287463349127597e-07,0.0033996471253665084,0.03825099299082313,COM
3,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-2.3903508726386264e-05,0.0033760964912736137,0.03652016803407421,COM-SL
4,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-2.6268430850099338e-05,0.0033737315691499004,0.03762146116143284,RW
5,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-2.3045409679182783e-05,0.003376954590320817,0.036053213190424996,RW-SL
6,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,4.9124052372253804e-05,0.0034491240523722537,0.03950941254070426,Proxy Oracle
7,0.0,0,0.4,0,1.687284866370238e-15,0.9931060594972223,0.21745967864990234,0.7774185878224671,ohie,12994,-0.0034,-0.004939453968910393,0.001539453968910393,0.03795826815834443,Target Oracle
8,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,-2.103437799309497e-06,0.00339789656220069,0.038220920856326585,OBS
9,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,-0.000543242559833082,0.002856757440166918,0.041898101004241045,OBS Oracle
10,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,0.08340379151617323,0.08680379151617323,0.04283511157271897,COM
11,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,2.5258802949606443e-05,0.003425258802949606,0.04231572251338082,COM-SL
12,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,3.7918287532573026e-06,0.003403791828753257,0.036234446220630406,RW
13,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,2.9674254843057417e-05,0.0034296742548430574,0.043900479075889454,RW-SL
14,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,7.157544537754988e-06,0.003407157544537755,0.0358452400835301,Proxy Oracle
15,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,-0.0034,-0.1142744154135944,0.1108744154135944,0.03601482048929187,Target Oracle
16,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,0.04703368319095281,0.05043368319095281,0.042266316041118815,OBS
17,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,-0.0024475847564789655,0.0009524152435210344,0.04379686506437314,OBS Oracle
18,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,-0.06736733570070016,0.06396733570070016,0.04044029029363335,COM
19,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,-0.14501518622672102,0.14161518622672103,0.04044029029363335,COM-SL
20,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,-0.07674157751351131,0.07334157751351131,0.04044029029363335,RW
21,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,-0.16218573282656906,0.15878573282656908,0.04044029029363335,RW-SL
22,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,-0.06418589303904278,0.060785893039042777,0.04044029029363335,Proxy Oracle
23,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,-0.0034,0.004800240273856657,0.008200240273856657,0.04130405776702616,Target Oracle
24,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,-0.004714031445306355,0.001314031445306355,0.038918138964314127,OBS
25,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,0.007949432691035443,0.011349432691035444,0.04539379649847967,OBS Oracle
26,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,0.024299458393856874,0.027699458393856874,0.04167229619059651,COM
27,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,-0.08386286492976167,0.08046286492976167,0.041588317523229584,COM-SL
28,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,0.030182685566037745,0.033582685566037745,0.042546242451607735,RW
29,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,-0.22575591918573462,0.22235591918573464,0.03991046545006955,RW-SL
30,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,-0.07164605579634935,0.06824605579634935,0.03991046545006955,Proxy Oracle
31,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,-0.0034,-0.014814158135613764,0.011414158135613764,0.041577328187558556,Target Oracle
32,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.00570951055350484,0.0023095105535048403,0.04557393820505135,OBS
