,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,AU-ROC,ACC,do,baseline
16,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.3903902669598636,0.9599897409592203,0,OBS
17,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.40896506539060984,0.9625545011541421,1,OBS
18,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.7058115319536639,0.9533213644524237,0,OBS Oracle
19,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.7186333125280597,0.9502436522185176,1,OBS Oracle
20,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.3835844002822362,0.9599897409592203,0,COM
21,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.41353766302026873,0.9625545011541421,1,COM
22,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.4042186440329641,0.9599897409592203,0,COM-SL
23,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.4117235891651976,0.9625545011541421,1,COM-SL
24,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.39941480507203186,0.9599897409592203,0,RW
25,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.4105792991177834,0.9625545011541421,1,RW
26,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.3797558862012509,0.9599897409592203,0,RW-SL
27,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.4244932820866594,0.9625545011541421,1,RW-SL
28,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.3895493810668803,0.9599897409592203,0,Proxy Oracle
29,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.4267052111735269,0.9625545011541421,1,Proxy Oracle
30,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.6918016194331984,0.9515260323159784,0,Target Oracle
31,0.0,0,0.4,0,8.963259957384465e-14,0.9827440399676561,2.680202658119149e-14,0.9919496392831206,ohie,12994,0.6662304859308901,0.9481918440625802,1,Target Oracle
32,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.37886360213839315,0.9561426006668376,0,OBS
33,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.3302852018187592,0.9602462169787125,1,OBS
34,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.6810159563787868,0.9492177481405488,0,OBS Oracle
35,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.7248306690535262,0.9546037445498846,1,OBS Oracle
36,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.4030036643827021,0.9558861246473455,0,COM
37,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.39018438840209513,0.9607591690176969,1,COM
38,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.42948808448159026,0.9425493716337523,0,COM-SL
39,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.39187071874487467,0.9607591690176969,1,COM-SL
40,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.4089088735787968,0.9551166965888689,0,RW
41,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.3908395534757772,0.9607591690176969,1,RW
42,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.4269217616645333,0.9279302385226982,0,RW-SL
43,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.3944791655761788,0.9607591690176969,1,RW-SL
44,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.37479842757824455,0.9561426006668376,0,Proxy Oracle
